,sec,scorecard,bowler
0,0000,1,1
1,0001,1,1
2,0002,1,0
3,0003,1,0
4,0004,1,0
5,0005,1,0
6,0006,1,0
7,0007,1,0
8,0008,0,0
9,0009,0,0
10,0010,0,0
11,0011,0,0
12,0012,0,0
13,0013,0,0
14,0014,0,0
15,0015,0,0
16,0016,0,0
17,0017,0,0
18,0018,0,0
19,0019,0,0
20,0020,0,0
21,0021,0,0
22,0022,0,0
23,0023,1,0
24,0024,2,0
25,0025,1,0
26,0026,1,0
27,0027,1,0
28,0028,1,1
29,0029,1,0
30,0030,1,0
31,0031,1,0
32,0032,1,0
33,0033,1,0
34,0034,1,0
35,0035,1,0
36,0036,1,0
37,0037,1,0
38,0038,0,0
39,0039,0,1
40,0040,0,0
41,0041,0,0
42,0042,0,0
43,0043,0,1
44,0044,0,0
45,0045,1,0
46,0046,0,0
47,0047,0,0
48,0048,0,0
49,0049,0,0
50,0050,0,0
51,0051,1,0
52,0052,0,0
53,0053,0,0
54,0054,1,0
55,0055,1,0
56,0056,1,1
57,0057,1,1
58,0058,1,0
59,0059,1,0
60,0060,1,0
61,0061,1,0
62,0062,1,0
63,0063,1,0
64,0064,1,0
65,0065,1,0
66,0066,1,1
67,0067,1,0
68,0068,1,0
69,0069,1,0
70,0070,1,0
71,0071,1,0
72,0072,1,0
73,0073,1,0
74,0074,1,0
75,0075,1,0
76,0076,1,0
77,0077,1,0
78,0078,1,0
79,0079,1,0
80,0080,1,0
81,0081,1,0
82,0082,1,0
83,0083,1,0
84,0084,0,0
85,0085,0,0
86,0086,0,0
87,0087,0,0
88,0088,1,1
89,0089,1,0
90,0090,1,0
91,0091,1,0
92,0092,1,0
93,0093,1,0
94,0094,1,0
95,0095,1,0
96,0096,1,0
97,0097,1,0
98,0098,1,0
99,0099,0,0
100,0100,0,0
101,0101,0,0
102,0102,0,0
103,0103,0,0
104,0104,0,0
105,0105,0,0
106,0106,0,0
107,0107,0,0
108,0108,1,0
109,0109,1,1
110,0110,1,1
111,0111,1,0
112,0112,1,0
113,0113,1,0
114,0114,1,0
115,0115,1,0
116,0116,1,0
117,0117,1,0
118,0118,1,1
119,0119,1,0
120,0120,1,0
121,0121,1,0
122,0122,1,0
123,0123,1,0
124,0124,1,0
125,0125,1,0
126,0126,1,0
127,0127,0,0
128,0128,0,0
129,0129,0,0
130,0130,0,0
131,0131,0,0
132,0132,0,0
133,0133,0,0
134,0134,0,0
135,0135,1,1
136,0136,1,1
137,0137,1,0
138,0138,1,0
139,0139,1,0
140,0140,1,0
141,0141,1,0
142,0142,1,0
143,0143,1,0
144,0144,1,0
145,0145,1,0
146,0146,0,0
147,0147,0,0
148,0148,0,0
149,0149,0,0
150,0150,1,0
151,0151,1,0
152,0152,1,1
153,0153,1,0
154,0154,1,0
155,0155,1,0
156,0156,1,0
157,0157,1,0
158,0158,1,0
159,0159,1,0
160,0160,0,0
161,0161,0,0
162,0162,0,0
163,0163,0,0
164,0164,0,0
165,0165,0,0
166,0166,1,1
167,0167,1,0
168,0168,1,0
169,0169,1,0
170,0170,1,0
171,0171,1,0
172,0172,1,0
173,0173,1,0
174,0174,1,1
175,0175,1,0
176,0176,1,0
177,0177,1,0
178,0178,1,0
179,0179,1,0
180,0180,1,0
181,0181,1,0
182,0182,1,0
183,0183,1,0
184,0184,1,0
185,0185,0,0
186,0186,0,0
187,0187,0,0
188,0188,0,0
189,0189,0,0
190,0190,0,0
191,0191,0,0
192,0192,1,0
193,0193,1,0
194,0194,0,0
195,0195,0,0
196,0196,0,0
197,0197,1,0
198,0198,1,1
199,0199,1,0
200,0200,1,0
201,0201,1,0
202,0202,1,0
203,0203,1,0
204,0204,1,0
205,0205,1,0
206,0206,1,0
207,0207,1,0
208,0208,0,0
209,0209,0,0
210,0210,0,0
211,0211,0,0
212,0212,0,0
213,0213,0,0
214,0214,0,0
215,0215,0,0
216,0216,0,0
217,0217,1,1
218,0218,1,0
219,0219,1,0
220,0220,1,0
221,0221,1,0
222,0222,1,0
223,0223,1,0
224,0224,1,0
225,0225,1,0
226,0226,1,0
227,0227,1,0
228,0228,1,0
229,0229,1,0
230,0230,1,0
231,0231,1,0
232,0232,1,0
233,0233,0,0
234,0234,0,0
235,0235,0,0
236,0236,1,0
237,0237,1,1
238,0238,1,0
239,0239,1,0
240,0240,1,1
241,0241,1,0
242,0242,1,0
243,0243,0,0
244,0244,0,0
245,0245,0,0
246,0246,0,0
247,0247,0,0
248,0248,1,0
249,0249,0,0
250,0250,0,0
251,0251,1,1
252,0252,1,0
253,0253,1,0
254,0254,1,0
255,0255,1,0
256,0256,1,0
257,0257,1,0
258,0258,1,0
259,0259,1,0
260,0260,1,0
261,0261,1,0
262,0262,1,0
263,0263,1,0
264,0264,1,0
265,0265,1,0
266,0266,1,0
267,0267,1,0
268,0268,1,0
269,0269,1,0
270,0270,1,0
271,0271,1,0
272,0272,1,1
273,0273,1,0
274,0274,1,0
275,0275,1,0
276,0276,1,0
277,0277,1,0
278,0278,1,0
279,0279,0,0
280,0280,0,0
281,0281,0,0
282,0282,0,0
283,0283,0,0
284,0284,0,0
285,0285,0,0
286,0286,0,0
287,0287,0,0
288,0288,1,0
289,0289,1,1
290,0290,1,0
291,0291,1,0
292,0292,1,0
293,0293,1,0
294,0294,1,0
295,0295,1,0
296,0296,1,0
297,0297,1,0
298,0298,1,0
299,0299,1,0
300,0300,1,0
301,0301,1,0
302,0302,1,0
303,0303,1,0
304,0304,1,0
305,0305,1,0
306,0306,1,0
307,0307,1,0
308,0308,1,0
309,0309,1,0
310,0310,1,1
311,0311,1,1
312,0312,1,0
313,0313,1,0
314,0314,1,0
315,0315,1,0
316,0316,1,0
317,0317,1,0
318,0318,1,0
319,0319,1,0
320,0320,1,0
321,0321,1,0
322,0322,1,0
323,0323,1,0
324,0324,1,0
325,0325,1,0
326,0326,1,0
327,0327,1,0
328,0328,0,0
329,0329,0,0
330,0330,1,0
331,0331,0,0
332,0332,0,0
333,0333,0,0
334,0334,1,0
