secs,runs,wickets
0167.jpg,0,0
0168.jpg,0,0
0169.jpg,0,0
0170.jpg,0,0
0171.jpg,0,0
0172.jpg,0,0
0173.jpg,0,0
0174.jpg,0,0
0175.jpg,0,0
0176.jpg,0,0
0177.jpg,0,0
0178.jpg,0,0
0180.jpg,0,0
0181.jpg,4,0
0182.jpg,4,0
0183.jpg,4,0
0184.jpg,4,0
0197.jpg,9,0
0198.jpg,9,0
0199.jpg,9,0
0200.jpg,9,0
0201.jpg,9,0
0202.jpg,9,0
0203.jpg,9,0
0204.jpg,9,0
02042.jpg,9,0
0205.jpg,9,0
0206.jpg,9,0
0207.jpg,15,0
02072.jpg,15,0
0208.jpg,15,0
0220.jpg,15,0
0221.jpg,15,0
0222.jpg,15,0
0223.jpg,15,0
0224.jpg,15,0
0225.jpg,15,0
0226.jpg,15,0
0227.jpg,15,0
0239.jpg,21,0
0240.jpg,21,0
0241.jpg,21,0
0242.jpg,21,0
0243.jpg,21,0
0244.jpg,21,0
0245.jpg,21,0
02452.jpg,27,0
0246.jpg,21,0
0247.jpg,21,0
0255.jpg,27,0
0256.jpg,27,0
0257.jpg,27,0
0258.jpg,27,0
0259.jpg,27,0
0260.jpg,27,0
0261.jpg,31,0
0262.jpg,31,0
0263.jpg,37,0
0264.jpg,37,0
0265.jpg,31,0
0266.jpg,31,0
0267.jpg,31,0
0268.jpg,31,0
0269.jpg,37,0
0270.jpg,37,0
0271.jpg,37,0
0272.jpg,37,0
0273.jpg,37,0
0274.jpg,37,0
02742.jpg,37,0
0275.jpg,37,0
0276.jpg,37,0
0277.jpg,37,0
0278.jpg,37,0
02782.jpg,37,0
0279.jpg,37,0
02792.jpg,37,0
0280.jpg,37,0
0281.jpg,37,0
0282.jpg,37,0
0283.jpg,37,0
0284.jpg,41,0
0285.jpg,41,0
0286.jpg,47,0
0287.jpg,47,0
0288.jpg,41,0
0289.jpg,41,0
0290.jpg,41,0
0291.jpg,47,0
0292.jpg,47,0
0293.jpg,47,0
02932.jpg,47,0
0294.jpg,47,0
0295.jpg,47,0
0296.jpg,48,0
0297.jpg,48,0
0298.jpg,48,0
02982.jpg,48,0
0299.jpg,48,0
0300.jpg,48,0
0301.jpg,48,0
0302.jpg,52,0
0303.jpg,52,0
0304.jpg,52,0
0305.jpg,52,0
0311.jpg,52,0
0312.jpg,52,0
0313.jpg,52,0
0314.jpg,52,0
0315.jpg,52,0
0316.jpg,52,0
0317.jpg,56,0
03172.jpg,56,0
0318.jpg,56,0
03182.jpg,56,0
0319.jpg,56,0
03192.jpg,56,0
0320.jpg,56,0
03202.jpg,56,0
0321.jpg,56,0
0322.jpg,56,0
0323.jpg,56,0
0324.jpg,56,0
0325.jpg,56,0
0326.jpg,56,0
0327.jpg,56,0
0328.jpg,56,0
0329.jpg,56,0
03292.jpg,56,0
0330.jpg,60,0
0331.jpg,60,0
03312.jpg,60,0
0332.jpg,60,0
03322.jpg,60,0
0333.jpg,60,0
03332.jpg,60,0
0344.jpg,61,0
0345.jpg,61,0
0346.jpg,61,0
0347.jpg,61,0
0348.jpg,61,0
0349.jpg,61,1
0350.jpg,61,1
0351.jpg,67,1
0352.jpg,61,7
0353.jpg,61,7
0363.jpg,61,1
0364.jpg,61,1
0365.jpg,61,1
0366.jpg,61,1
0367.jpg,61,1
0368.jpg,61,1
0369.jpg,61,1
0380.jpg,61,1
0381.jpg,61,1
0383.jpg,61,1
0384.jpg,61,1
0385.jpg,61,1
0386.jpg,61,1
0387.jpg,61,1
0388.jpg,61,1
0389.jpg,65,1
0390.jpg,65,1
0391.jpg,65,1
0392.jpg,65,1
0393.jpg,65,1
03932.jpg,65,1
0394.jpg,65,1
03942.jpg,65,1
0395.jpg,65,1
0396.jpg,66,7
0397.jpg,66,1
0398.jpg,66,1
0399.jpg,66,1
0400.jpg,66,1
0401.jpg,66,1
0402.jpg,66,1
0403.jpg,66,1
0404.jpg,66,1
0405.jpg,66,1
0406.jpg,66,2
0407.jpg,66,2
0408.jpg,66,2
0409.jpg,66,2
0410.jpg,66,2
0411.jpg,66,2
0412.jpg,66,2
0413.jpg,66,2
0414.jpg,66,2
0415.jpg,66,2
0416.jpg,66,2
0428.jpg,66,2
0429.jpg,66,2
0430.jpg,66,2
0431.jpg,66,2
0432.jpg,66,2
0433.jpg,66,2
0446.jpg,66,2
0447.jpg,66,2
0448.jpg,66,2
0449.jpg,66,2
04492.jpg,66,2
0450.jpg,66,2
0451.jpg,66,2
0452.jpg,66,2
0453.jpg,66,2
0454.jpg,70,2
0455.jpg,70,2
0457.jpg,70,2
0458.jpg,70,2
0464.jpg,78,2
0465.jpg,78,2
0466.jpg,78,2
0467.jpg,78,2
0468.jpg,78,2
0469.jpg,79,2
0470.jpg,79,2
0471.jpg,79,2
0472.jpg,79,2
0474.jpg,79,2
04742.jpg,79,2
0475.jpg,79,2
04752.jpg,79,2
0476.jpg,79,2
04762.jpg,79,2
0477.jpg,79,2
04772.jpg,79,2
0478.jpg,79,2
0479.jpg,79,2
0480.jpg,79,2
0481.jpg,79,2
0482.jpg,79,2
0496.jpg,84,2
0497.jpg,84,2
0498.jpg,84,2
0499.jpg,84,2
0500.jpg,84,2
0501.jpg,84,2
0502.jpg,84,2
0503.jpg,84,2
0520.jpg,90,2
0521.jpg,90,2
05212.jpg,90,2
0522.jpg,90,2
0523.jpg,90,2
0524.jpg,90,2
0525.jpg,90,2
0526.jpg,90,2
0527.jpg,91,2
0528.jpg,91,2
0529.jpg,91,2
0530.jpg,92,2
0531.jpg,92,2
0532.jpg,92,2
05322.jpg,92,2
0533.jpg,92,2
0534.jpg,92,2
0535.jpg,92,2
0536.jpg,92,2
0537.jpg,96,2
0538.jpg,96,2
0540.jpg,96,2
0548.jpg,97,2
0549.jpg,97,2
0550.jpg,97,2
0551.jpg,97,2
0552.jpg,97,3
0553.jpg,97,3
05532.jpg,97,3
0569.jpg,97,3
0570.jpg,97,3
0571.jpg,97,3
0572.jpg,97,3
0573.jpg,97,3
0574.jpg,97,3
0575.jpg,97,3
0576.jpg,97,3
0577.jpg,97,3
0578.jpg,97,3
0579.jpg,97,3
0590.jpg,99,3
0591.jpg,99,3
0592.jpg,99,3
0593.jpg,99,3
0594.jpg,100,3
0595.jpg,100,3
0596.jpg,100,3
0597.jpg,100,3
0598.jpg,100,3
0599.jpg,100,3
0600.jpg,102,3
0601.jpg,102,3
0602.jpg,102,3
0603.jpg,102,3
0604.jpg,102,3
0605.jpg,102,3
0606.jpg,102,4
0607.jpg,102,4
0608.jpg,102,4
0609.jpg,102,4
0610.jpg,102,4
0611.jpg,702,4
0624.jpg,102,4
0625.jpg,102,4
0626.jpg,102,4
0627.jpg,102,4
0628.jpg,102,4
0629.jpg,102,4
0639.jpg,103,4
0640.jpg,103,4
0641.jpg,103,4
0642.jpg,103,4
0643.jpg,103,4
0644.jpg,104,4
0645.jpg,104,4
0646.jpg,104,4
0647.jpg,104,4
0665.jpg,105,4
0666.jpg,105,4
0667.jpg,105,4
0668.jpg,105,4
0669.jpg,105,4
0670.jpg,105,4
0671.jpg,105,4
0672.jpg,105,4
0673.jpg,105,4
0685.jpg,109,4
0686.jpg,109,4
0687.jpg,109,4
0688.jpg,109,4
0689.jpg,109,4
0690.jpg,109,4
0691.jpg,109,4
0692.jpg,110,4
